record_index,delta,L_B,constraint_residual,finite_q_relative_error,incoming_plateau,outgoing_plateau
0,9.99999860695766e-10,12.273694943175402,8.690784537424451e-16,5.4998871258628153e-08,True,True
1,9.99999860695766e-10,15.382184839613,2.2975173695988145e-16,1.6306218886759203e-09,True,True
2,9.99999860695766e-10,20.563001333675665,2.2975190862570795e-16,2.495407243561766e-09,True,True
3,9.99999860695766e-10,12.278703298798638,8.03785522686867e-16,5.49974908795085e-08,True,True
4,9.99999860695766e-10,15.387193195236236,2.2975184784671413e-16,1.6314520410487432e-09,True,True
5,9.99999860695766e-10,20.5680096892989,2.297518177761947e-16,2.4961939085405875e-09,True,True
6,9.99999860695766e-10,12.278703298798638,8.03785522686867e-16,5.49974908795085e-08,True,True
7,9.99999860695766e-10,15.387193195236236,2.2975184784671413e-16,1.6314520410487432e-09,True,True
8,9.99999860695766e-10,20.5680096892989,2.297518177761947e-16,2.4961939085405875e-09,True,True
9,9.99999860695766e-10,12.278703298798638,8.03785522686867e-16,5.49974908795085e-08,True,True
10,9.99999860695766e-10,15.387193195236236,2.2975184784671413e-16,1.6314520410487432e-09,True,True
11,9.99999860695766e-10,20.5680096892989,2.297518177761947e-16,2.4961939085405875e-09,True,True
12,9.99999860695766e-10,12.278703298798638,8.03785522686867e-16,5.49974908795085e-08,True,True
13,9.99999860695766e-10,15.387193195236236,2.2975184784671413e-16,1.6314520410487432e-09,True,True
14,9.99999860695766e-10,20.5680096892989,2.297518177761947e-16,2.4961939085405875e-09,True,True
15,9.99999860695766e-10,11.98386990264735,8.106480117302814e-16,5.506315083825654e-08,True,True
16,9.99999860695766e-10,15.092359799084948,2.29751883401748e-16,1.5714478923022607e-09,True,True
17,9.99999860695766e-10,20.27317629314761,3.399463373744518e-16,2.4539879200826407e-09,True,True
18,9.99999860695766e-10,11.988878258270583,9.345662622786314e-16,5.50620499914628e-08,True,True
19,9.99999860695766e-10,15.097368154708183,2.2975179336184583e-16,1.5725569725831667e-09,True,True
20,9.99999860695766e-10,20.278184648770846,3.3994625012971735e-16,2.4547197398830256e-09,True,True
21,9.99999860695766e-10,11.988878258270583,9.345662622786314e-16,5.50620499914628e-08,True,True
22,9.99999860695766e-10,15.097368154708183,2.2975179336184583e-16,1.5725569725831667e-09,True,True
23,9.99999860695766e-10,20.278184648770846,3.3994625012971735e-16,2.4547197398830256e-09,True,True
24,9.99999860695766e-10,11.988878258270583,9.345662622786314e-16,5.50620499914628e-08,True,True
25,9.99999860695766e-10,15.097368154708183,2.2975179336184583e-16,1.5725569725831667e-09,True,True
26,9.99999860695766e-10,20.278184648770846,3.3994625012971735e-16,2.4547197398830256e-09,True,True
27,9.99999860695766e-10,11.988878258270583,9.345662622786314e-16,5.50620499914628e-08,True,True
